date,close,news_titles
2026-02-01,98000,"Bitcoin surges as ETF inflows continue"
2026-02-02,97250,"Macro uncertainty grows, investors seek safe assets"
2026-02-03,98950,"Large funds increase crypto allocation"
2026-02-04,99500,"Analysts warn about overheated momentum"
2026-02-05,100800,"Strong risk-on sentiment across markets"
2026-02-06,99820,"Profit taking starts after rapid rally"
2026-02-07,100300,"On-chain activity improves, traders turn optimistic"
2026-02-08,101200,"Regulatory headlines create mixed sentiment"
2026-02-09,100700,"Whales accumulate during intraday dip"
2026-02-10,102000,"FOMO signs appear in derivatives market"
