date,title
2026-02-01,ETF inflows remain strong as risk appetite rises
2026-02-02,Macro uncertainty increases pressure on risk assets
2026-02-03,Institutional buyers add exposure on pullback
2026-02-04,Analysts warn market is short-term overheated
2026-02-05,Large holders continue accumulation trend
2026-02-06,Profit taking emerges after rapid rally
2026-02-07,Positive on-chain signals support momentum
2026-02-08,Mixed regulatory headlines create caution
2026-02-09,Derivatives funding suggests crowded longs
2026-02-10,Liquidity improves and volatility moderates
